dutch_word,english1,sentence1,english2,sentence2
"vrees","fear","Ze leefden in vrees voor oorlog.","anxiety","Zijn vrees was ongegrond."
"vreselijk","terrible","Het weer was vreselijk.","awful","Ze maakten een vreselijke fout."
"vreugde","joy","Ze sprongen van vreugde.","delight","De vreugde was groot."
"vrezen","to fear","Ze vrezen voor hun baan.","to dread","Hij vreesde het ergste."
"vriend","friend","Ze is een goede vriend.","mate","Zijn vriend woont dichtbij."
"vriendelijk","friendly","Ze is altijd vriendelijk.","kind","Hij gaf een vriendelijke glimlach."
"vriendin","girlfriend","Ze ging met haar vriendin shoppen.","female friend","Zijn vriendin woont in Utrecht."
"vrij","free","Ze zijn vrij vandaag.","available","Ze voelden zich vrij."
"vrijdag","Friday","Vrijdag is mijn favoriete dag.","Fri","Ze werken niet op vrijdag."
"vrijheid","freedom","Vrijheid is belangrijk.","liberty","Ze vechten voor vrijheid."
"vrijwel","almost","Ze was vrijwel klaar.","nearly","Vrijwel niemand kwam."
"vroeg","early","Ze kwamen vroeg op school.","soon","Hoe vroeg is het?"
"vroeger","earlier","Vroeger speelde hij hier.","in the past","Ze woonden vroeger in Leiden."
"vrolijk","cheerful","Ze is altijd vrolijk.","happy","Een vrolijk kind speelt buiten."
"vrouw","woman","Ze is een sterke vrouw.","wife","Zijn vrouw heet Anna."
"vrucht","fruit","De vrucht smaakte zoet.","produce","Vruchten groeien in de zomer."
"vuil","dirty","De schoenen zijn vuil.","filthy","Het water is vuil."
"vullen","to fill","Ze vullen de flessen met water.","to stuff","Hij vulde een kussen."
"vuur (het)","fire","Ze zaten bij het vuur.","flame","Het vuur brandde fel."
"waaien","to blow","De wind begint te waaien.","to gust","Het waaide hard."
"waar (bn)","true","Dat is waar.","real","Ze vertelde een waar verhaal."
"waar (vrw)","where","Waar ga je heen?","at which place","Waar is dat gebeurd?"
"waard","worth","Het huis is veel waard.","value","Het is de moeite waard."
"waarde","value","De waarde van goud is hoog.","worth","Ze bepaalden de waarde."
"waardering","appreciation","Ze toonden hun waardering.","esteem","Zijn werk kreeg veel waardering."
"waarheid","truth","Ze zochten naar de waarheid.","verity","De waarheid kwam uit."
"waarom","why","Waarom kom je te laat?","for what reason","Ze vroegen waarom."
"waarschijnlijk","probably","Waarschijnlijk regent het morgen.","likely","Het is waarschijnlijk juist."
"waarschuwen","to warn","Ze waarschuwden voor gladheid.","to alert","Hij waarschuwde zijn vrienden."
"wachten","to wait","Ze moesten lang wachten.","to expect","Hij wachtte op nieuws."
"wagen (de)","car","De wagen staat buiten.","vehicle","Hij reed in een wagen."
"wagen","to dare","Hij durfde het te wagen.","to risk","Ze waagden een gok."
"wakker","awake","Hij is al wakker.","alert","Ze maakte hem wakker."
"wand","wall","Aan de wand hangt een schilderij.","partition","Ze schilderden de wand."
"wandelen","to walk","Ze gingen wandelen in het bos.","to stroll","We wandelen graag samen."
"wanneer (vrw)","when","Wanneer begint de film?","at what time","Wanneer ga je weg?"
"wanneer (vw)","when","Wanneer ik kom, zie ik je.","as","Ze lachten wanneer hij sprak."
"want","because","Hij ging niet, want hij was ziek.","for","Ze bleef thuis, want het regende."
"wapen (het)","weapon","Het wapen lag op tafel.","arm","Ze verboden wapens."
"warm","warm","Het is warm buiten.","hot","Ze dronken warme thee."
"wassen","to wash","Ze moesten de auto wassen.","to clean","Hij waste zijn handen."
"wat (vrw)","what","Wat is dat?","which","Wat wil je eten?"
"wat (betr vnw)","which","Het boek wat ik lees is spannend.","that","Het huis wat ze kochten is groot."
"wat (onbep vnw)","something","Ze hadden wat eten meegenomen.","a bit","Er was wat lawaai."
"wat (bw)","somewhat","Het is wat koud hier.","rather","Ze vond het wat vreemd."
"wat (onbep telw)","a few","Er kwamen wat mensen langs.","several","Wat boeken lagen op tafel."
"water (het)","water","Ze dronken water.","liquid","Water stroomt uit de kraan."
"wc","toilet","Ze gingen naar de wc.","bathroom","De wc is schoon."
"we","we","We gaan naar huis.","us","We hebben honger."
"wedstrijd","match","Ze wonnen de wedstrijd.","game","De wedstrijd begon om drie uur."
"week","week","Een week heeft zeven dagen.","seven days","De week is voorbij."
"wees","orphan","De wees kreeg hulp.","be","Wees voorzichtig met die vaas."
"weer (het)","weather","Het weer is mooi.","climate","Ze spraken over het weer."
"weer","again","Ze kwamen weer terug.","back","Weer dezelfde fout."
"weg (de)","road","Ze reden over een lange weg.","route","De weg naar huis."
"weg","away","Hij is weg.","gone","Ze gooiden het weg."
"wegens","because of","Wegens ziekte bleef ze thuis.","due to","Ze waren gesloten wegens vakantie."
"weggaan","to leave","Ze moesten vroeg weggaan.","to go away","Hij ging stil weg."
"weigeren","to refuse","Ze weigerden te helpen.","to decline","Hij weigerde het aanbod."
"weinig (bw)","little","Ze aten weinig.","not much","Weinig mensen kwamen."
"weinig (bn)","few","Er waren weinig stoelen.","scarce","Ze hadden weinig tijd."
"wekken","to wake","Ze moest hem vroeg wekken.","to arouse","Hij wekte interesse."
"wel","well","Wel, dat is mooi.","indeed","Ze kwamen wel op tijd."
"weliswaar","admittedly","Weliswaar was hij ziek, maar hij kwam toch.","though","Weliswaar duurde het lang."
"welk (vrw)","which","Welk boek lees je?","what","Welk nummer is dat?"
"welk (onbep vnw)","any","Welk mens zou dat doen?","whichever","Ze kozen welk lied ze wilden."
"wellicht","perhaps","Wellicht kom ik morgen.","possibly","Wellicht is dat juist."
"welterusten","good night","Ze zeiden welterusten.","sleep well","Welterusten en slaap lekker."
"wennen","to get used to","Ze moesten wennen aan het weer.","to adapt","Hij wende snel."
"wens","wish","Ze hadden een wens.","desire","Zijn wens ging in vervulling."
"wensen","to wish","Ze wensen je een fijne dag.","to desire","Hij wenste meer tijd."
"wereld","world","De wereld is groot.","earth","Ze reizen de wereld rond."
"werk (het)","work","Ze hebben veel werk.","job","Het werk was zwaar."
"werkelijk","really","Het is werkelijk zo gebeurd.","truly","Ze vond het werkelijk prachtig."
"werkelijkheid","reality","De werkelijkheid is soms hard.","truth","Ze zagen de werkelijkheid."
"werken","to work","Ze werken hard.","to function","Het apparaat werkt goed."
"werkgever","employer","De werkgever betaalt salaris.","boss","Ze spraken met hun werkgever."
"werking","operation","De werking van het systeem is duidelijk.","function","Ze testten de werking."
"werknemer","employee","De werknemer kreeg een bonus.","staff member","Ze belonen de werknemers."
"werkzaamheden","activities","De werkzaamheden zijn afgerond.","tasks","Ze verrichten werkzaamheden."
"werpen","to throw","Hij wierp de bal weg.","to cast","Ze wierpen een blik naar buiten."
"westen (het)","west","De zon gaat onder in het westen.","western","Ze reizen naar het westen."
"wet","law","Ze hielden zich aan de wet.","act","De wet werd aangenomen."
"weten","to know","Ze willen het niet weten.","to find out","Hij wist het antwoord."
"wetenschap","science","Ze studeert wetenschap.","scientific study","De wetenschap ontwikkelt snel."
"wetenschappelijk","scientific","Het onderzoek was wetenschappelijk.","academic","Ze schreven een wetenschappelijk artikel."
"wettelijk","legal","Dat is wettelijk verplicht.","lawful","Ze handelden wettelijk."
"wezen (het)","being","Het wezen was onbekend.","creature","Er liep een vreemd wezen."
"wezen = zijn","to be","Het wezen van de zaak is belangrijk.","essence","Zijn wezen is vriendelijk."
"wie (vrw)","who","Wie komt er binnen?","whom","Wie ken je?"
"wie (betr vnw)","who","De man wie ik zag woont daar.","that","De mensen wie je helpt."
"wij","we","Wij gaan naar het strand.","us","Wij hebben gewonnen."
"wijd","wide","De rivier is wijd.","broad","Ze droeg een wijde broek."
"wijn","wine","Ze drinken graag wijn.","grape wine","Hij schonk een glas wijn."
"wijs","wise","Dat was een wijze beslissing.","sensible","Ze sprak wijs."
"wijze","way","Op welke wijze deed hij dat?","manner","De wijze waarop hij sprak was mooi."
"wijzen","to point","Hij wees naar de kaart.","to indicate","Ze wees de weg."
"wil","will","Hij heeft een sterke wil.","wish","Zijn wil werd gerespecteerd."
"wild","wild","Het dier is wild.","untamed","Ze zagen een wild paard."
"willen","to want","Ze willen op vakantie.","to desire","Hij wil een cadeau."
"wind","wind","De wind waait hard.","breeze","Ze hoorden de wind."
"winkel","shop","Ze gingen naar de winkel.","store","De winkel is open."
"winnen","to win","Ze willen het spel winnen.","to gain","Hij won een prijs."
"winst","profit","Het bedrijf maakt winst.","gain","Ze hadden winst dit jaar."
"winter","winter","De winter is koud.","wintertime","Ze houden van de winter."
"wit","white","Het huis is wit.","pale","Ze droegen witte kleren."
"woensdag","Wednesday","Woensdag is midden in de week.","Wed","Ze werken op woensdag."
"wonder (het)","wonder","Het is een wonder dat het lukte.","miracle","Het wonder was groot."
"wonderlijk","wonderful","Het uitzicht was wonderlijk.","strange","Wat een wonderlijk verhaal."
"wonen","to live","Ze wonen in Utrecht.","to reside","Hij woont bij zijn ouders."
"woning","home","Ze kochten een nieuwe woning.","house","De woning is groot."
"woord (het)","word","Schrijf elk woord op.","term","Ze kozen de juiste woorden."
"worden","to become","Ze willen arts worden.","to get","Het werd donker."
"zaak","matter","Dat is een belangrijke zaak.","business","Ze startten een nieuwe zaak."
"zaal","hall","De zaal zat vol.","room","Ze kwamen in de zaal."
"zacht","soft","Het bed is zacht.","gentle","Ze spraken met zachte stemmen."
"zak","bag","Ze droeg een zware zak.","pocket","De zak van haar jas is stuk."
"zakken","to sink","Het schip begon te zakken.","to fail","Hij zakte voor het examen."
"zand (het)","sand","Het zand was heet.","grit","Kinderen speelden in het zand."
"zaterdag","Saturday","Zaterdag is de weekenddag.","Sat","Ze werken niet op zaterdag."
"ze","she","Ze is mijn zus.","they","Ze komen later."
"zee","sea","De zee is rustig.","ocean","Ze zeilden over zee."
"zeep","soap","Ze gebruiken zeep om te wassen.","cleanser","De zeep schuimt."
"zeer","very","Ze zijn zeer tevreden.","much","Zeer weinig mensen weten dat."
"zeggen","to say","Ze wilden niets zeggen.","to tell","Hij zei de waarheid."
"zeker","certain","Dat is zeker waar.","sure","Hij is zeker van zijn zaak."
"zekerheid","certainty","Ze willen zekerheid.","security","De zekerheid ontbreekt."
"zelden","seldom","Ze komen zelden hier.","rarely","Hij lacht zelden."
"zelf","self","Doe het zelf.","oneself","Ze dacht aan zichzelf."
"zelfs","even","Zelfs kinderen kunnen dit.","even","Zelfs hij weet dat."
"zelfstandig","independent","Ze is zelfstandig.","self-reliant","Hij woont zelfstandig."
"zenden","to send","Ze moesten een pakket zenden.","to broadcast","Ze zenden het programma uit."
"zenuwachtig","nervous","Ze was zenuwachtig voor het examen.","anxious","Hij voelde zich zenuwachtig."
"zetten","to put","Zet de stoel neer.","to place","Ze zetten alles klaar."
"zich","oneself","Ze moesten zich wassen.","itself","Ze leerde zichzelf kennen."
"zichtbaar","visible","De toren is zichtbaar.","noticeable","Het verschil is zichtbaar."
"ziek","ill","Ze is ziek.","sick","Hij voelt zich ziek."
"ziekenhuis (het)","hospital","Ze ligt in het ziekenhuis.","medical center","Het ziekenhuis is groot."
"ziekte","illness","De ziekte verspreidt zich snel.","disease","Ze hebben de ziekte bestreden."
"ziel","soul","Ze dachten aan zijn ziel.","spirit","De ziel is onsterfelijk."
"zien","to see","Ze kunnen de bergen zien.","to look","Hij zag een vogel."
"zij / zijde","side","Aan de andere zij van de weg.","flank","Ze stonden aan onze zijde."
"zij","she","Zij is mijn moeder.","they","Zij komen samen."
"zijde","silk","De jurk is van zijde.","side","De zijde van het papier."
"zijn","to be","Ze willen dokter zijn.","to exist","Het is zoals het is."
"zijn (bez vnw)","his","Zijn huis staat daar.","its","Ze pakten hun zijn spullen."
"zilver (het)","silver","De ring is van zilver.","metal","Zilver is kostbaar."
"zin","sentence","Ze maakte een zin.","meaning","Hij heeft zin om te gaan."
"zingen","to sing","Ze zingen samen.","to chant","Hij zong een lied."
"zitten","to sit","Ze zitten op de bank.","to be seated","Hij zat in de tuin."
"zʼn","his","Hij verloor zʼn boek.","his","Zʼn jas lag binnen."
"zo","so","Ze was zo moe.","such","Zo groot had ik niet verwacht."
"zo (vw)","as soon as","Zo hij komt, beginnen we.","so that","Zo snel mogelijk vertrekken."
"zoals","such as","Ze kochten fruit zoals appels.","like","Zoals ik zei, is het duidelijk."
"zodanig","such","Zodanig gedrag is ongepast.","to such an extent","Hij sprak zodanig
"zodat","so that","Ze praten zacht zodat niemand hen hoort.","in order that","Hij werkte hard zodat hij kon slagen."
"zodoende","thus","Hij werkte veel, zodoende was hij moe.","therefore","Ze oefende veel, zodoende werd ze beter."
"zodra","as soon as","Zodra het regent, gaan we naar binnen.","once","Zodra ze klaar is, belt ze."
"zoeken","to search","Ze zoeken hun sleutels.","to look for","Hij zocht naar een baan."
"zoet","sweet","Het dessert is erg zoet.","sugary","Zoet fruit is lekker."
"zogenaamd","so-called","Ze hadden een zogenaamd probleem.","alleged","De zogenaamd beste oplossing werkte niet."
"zolang (bw)","as long as","Zolang het duurt, blijven we hier.","while","Hij bleef zolang mogelijk."
"zolang (vw)","as long as","Zolang jij werkt, help ik mee.","so long as","Zolang hij studeert, woont hij thuis."
"zomer","summer","De zomer is warm.","summertime","Ze houden van de zomer."
"zon","sun","De zon schijnt fel.","sunlight","Ze genoten van de zon."
"zoʼn","such a","Ze heeft zoʼn mooie jurk.","like that","Zoʼn kans krijg je niet vaak."
